wall_utc_ns,utc_iso8601,ros_now_ns,monotonic_ns,measurement_stamp_ns,measurement_stamp_sec,measurement_stamp_nanosec,f411_mcu_ms,dronecan_network_us,dronecan_gnss_us,dronecan_time_standard,timestamp_source_code,x_m,y_m,xy_source,gnss_east_m,gnss_north_m,longitude_deg,latitude_deg,altitude_m,hacc_m,fix_type,satellites,yaw_neo3_deg,yaw_neo3_source,yaw_neo3_valid,yaw_yahboom_deg,yaw_yahboom_source,yaw_yahboom_valid,yaw_inertial_deg,yaw_inertial_source,yaw_inertial_valid,yaw_gnss_heading_deg,yaw_imu_orientation_deg,gyro_z_rps,neo3_mag_norm_ut,yahboom_corrected_norm,map_yaw_from_enu_deg
1789298065029569389,2026-09-13T11:14:25.029569+00:00,1789298065029576606,25892246116895,1789298065029576606,1789298065,29576606,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu,nan,nan,nan,nan,nan,nan,-1,-1,nan,neo3_calibrated_diag,0,nan,yahboom_calibrated_diag,0,nan,logger_gyro_integral:none,0,nan,nan,nan,nan,nan,0.0
1789298065129544152,2026-09-13T11:14:25.129544+00:00,1789298065129549403,25892346091647,1789298065129549403,1789298065,129549403,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu,nan,nan,nan,nan,nan,nan,-1,-1,nan,neo3_calibrated_diag,0,nan,yahboom_calibrated_diag,0,nan,logger_gyro_integral:none,0,nan,nan,nan,nan,nan,0.0
1789298065229545835,2026-09-13T11:14:25.229546+00:00,1789298065229551085,25892446093346,1789298065229551085,1789298065,229551085,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu,nan,nan,nan,nan,nan,nan,-1,-1,nan,neo3_calibrated_diag,0,nan,yahboom_calibrated_diag,0,nan,logger_gyro_integral:none,0,nan,nan,nan,nan,nan,0.0
1789298065329568978,2026-09-13T11:14:25.329569+00:00,1789298065329574666,25892546116482,1789298065329574666,1789298065,329574666,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu,nan,nan,nan,nan,nan,nan,-1,-1,nan,neo3_calibrated_diag,0,nan,yahboom_calibrated_diag,0,nan,logger_gyro_integral:none,0,nan,nan,nan,nan,nan,0.0
1789298065529708630,2026-09-13T11:14:25.529709+00:00,1789298065529714305,25892746256153,1789298065529714305,1789298065,529714305,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu,nan,nan,nan,nan,nan,nan,-1,-1,nan,neo3_calibrated_diag,0,nan,yahboom_calibrated_diag,0,nan,logger_gyro_integral:none,0,nan,nan,nan,nan,nan,0.0
1789298065629626695,2026-09-13T11:14:25.629627+00:00,1789298065629628555,25892846173675,1789298065629628555,1789298065,629628555,1305927,1789298065607240,1789298065600000,2,-1,nan,nan,gnss_local_enu,nan,nan,nan,nan,nan,nan,-1,-1,-120.51622864070401,neo3_calibrated_diag,1,150.85061161266407,yahboom_calibrated_diag,0,-120.52041989019052,logger_gyro_integral:neo3_diag,1,nan,-159.697265625,0.0,42.83676361503049,1.2586689480207323,0.0
1789298065729555100,2026-09-13T11:14:25.729555+00:00,1789298065729556513,25892946102044,1789298065600000000,1789298065,600000000,1305927,1789298065607240,1789298065600000,2,4,-0.0,0.0,gnss_local_enu,-0.0,0.0,110.437081,-7.0470951,561.301,20.603,3,8,-120.52224363609692,neo3_calibrated_diag,1,150.7653957687346,yahboom_calibrated_diag,0,-120.52041989019052,logger_gyro_integral:neo3_diag,1,nan,-159.697265625,0.0,42.77827760535012,1.2600639683038448,0.0
1789298065829566370,2026-09-13T11:14:25.829566+00:00,1789298065829567829,25893046113378,1789298065600000000,1789298065,600000000,1306127,1789298065807534,1789298065800000,2,4,-0.0,0.0,gnss_local_enu,-0.0,0.0,110.437081,-7.0470951,561.301,20.603,3,8,-120.49510638227353,neo3_calibrated_diag,1,150.93945820231872,yahboom_calibrated_diag,0,-120.52041989019052,logger_gyro_integral:neo3_diag,1,nan,-159.697265625,0.0,42.81314750462176,1.2607363778584784,0.0
1789298065934484650,2026-09-13T11:14:25.934485+00:00,1789298065934489327,25893151032179,1789298065800000000,1789298065,800000000,1306127,1789298065807534,1789298065800000,2,4,-2.8507386589065984,-6.293180689214127,gnss_local_enu,-2.8507386589065984,-6.293180689214127,110.4370552,-7.047152,557.1,21.43,3,8,-120.52356250868094,neo3_calibrated_diag,1,150.808049654329,yahboom_calibrated_diag,0,-120.52041989019052,logger_gyro_integral:neo3_diag,1,nan,-159.697265625,0.0,42.82548337431931,1.2592908409410613,0.0
1789298066029592300,2026-09-13T11:14:26.029592+00:00,1789298066029594125,25893246139308,1789298065800000000,1789298065,800000000,1306127,1789298065807534,1789298065800000,2,4,-2.8507386589065984,-6.293180689214127,gnss_local_enu,-2.8507386589065984,-6.293180689214127,110.4370552,-7.047152,557.1,21.43,3,8,-120.54611871318764,neo3_calibrated_diag,1,150.67498273821298,yahboom_calibrated_diag,0,-120.52041989019052,logger_gyro_integral:neo3_diag,1,nan,-159.697265625,0.0,42.79803956576048,1.2595079663035749,0.0
