t_s,read,reject,z,raw_x,raw_y,x,y,cs,bus,page,accepted
0.0017,17584,16362,4,3664,768,41,224,1,0,CAMERA,0
0.1011,17589,16367,3,3664,768,41,224,1,0,CAMERA,0
0.2011,17594,16372,6,3664,768,41,224,1,0,CAMERA,0
0.3012,17599,16377,4,3664,768,41,224,1,0,CAMERA,0
0.4012,17604,16382,20,3664,768,41,224,1,0,CAMERA,0
0.5012,17609,16387,36,3664,768,41,224,1,0,CAMERA,0
0.6011,17614,16392,28,3664,768,41,224,1,0,CAMERA,0
0.7011,17619,16397,23,3664,768,41,224,1,0,CAMERA,0
0.8012,17624,16402,3,3664,768,41,224,1,0,CAMERA,0
0.9012,17629,16407,33,3664,768,41,224,1,0,CAMERA,0
1.0011,17634,16412,4,3664,768,41,224,1,0,CAMERA,0
1.1011,17639,16417,4,3664,768,41,224,1,0,CAMERA,0
1.2011,17644,16422,4,3664,768,41,224,1,0,CAMERA,0
1.3012,17649,16427,32,3664,768,41,224,1,0,CAMERA,0
1.4011,17654,16432,5,3664,768,41,224,1,0,CAMERA,0
1.501,17659,16437,10,3664,768,41,224,1,0,CAMERA,0
1.6011,17664,16442,4,3664,768,41,224,1,0,CAMERA,0
1.7011,17669,16447,11,3664,768,41,224,1,0,CAMERA,0
1.8012,17674,16452,4,3664,768,41,224,1,0,CAMERA,0
1.9048,17679,16457,21,3664,768,41,224,1,0,CAMERA,0
2.0011,17684,16462,35,3664,768,41,224,1,0,CAMERA,0
2.1011,17689,16467,33,3664,768,41,224,1,0,CAMERA,0
2.2012,17694,16472,10,3664,768,41,224,1,0,CAMERA,0
2.3011,17699,16477,28,3664,768,41,224,1,0,CAMERA,0
2.401,17704,16482,4,3664,768,41,224,1,0,CAMERA,0
2.5012,17709,16487,19,3664,768,41,224,1,0,CAMERA,0
2.6011,17714,16492,4,3664,768,41,224,1,0,CAMERA,0
2.7011,17719,16497,18,3664,768,41,224,1,0,CAMERA,0
2.8011,17724,16502,3,3664,768,41,224,1,0,CAMERA,0
2.9011,17729,16507,4,3664,768,41,224,1,0,CAMERA,0
