t_s,read,reject,z,raw_x,raw_y,x,y,cs,bus,page,accepted
0.0027,36956,35641,17,3539,902,34,226,1,0,CAMERA,0
0.0512,36958,35643,10,3539,902,34,226,1,0,CAMERA,0
0.1011,36961,35646,4,3539,902,34,226,1,0,CAMERA,0
0.1511,36963,35648,5,3539,902,34,226,1,0,CAMERA,0
0.2011,36966,35651,19,3539,902,34,226,1,0,CAMERA,0
0.2511,36968,35653,18,3539,902,34,226,1,0,CAMERA,0
0.3012,36971,35656,4,3539,902,34,226,1,0,CAMERA,0
0.3512,36973,35658,3,3539,902,34,226,1,0,CAMERA,0
0.401,36976,35661,3,3539,902,34,226,1,0,CAMERA,0
0.4511,36978,35663,4,3539,902,34,226,1,0,CAMERA,0
0.5011,36981,35666,11,3539,902,34,226,1,0,CAMERA,0
0.5511,36983,35668,18,3539,902,34,226,1,0,CAMERA,0
0.6011,36986,35671,4,3539,902,34,226,1,0,CAMERA,0
0.6511,36988,35673,3,3539,902,34,226,1,0,CAMERA,0
0.7011,36991,35676,15,3539,902,34,226,1,0,CAMERA,0
0.7511,36993,35678,19,3539,902,34,226,1,0,CAMERA,0
0.8011,36996,35681,6,3539,902,34,226,1,0,CAMERA,0
0.8511,36998,35683,11,3539,902,34,226,1,0,CAMERA,0
0.901,37001,35686,12,3539,902,34,226,1,0,CAMERA,0
0.951,37003,35688,19,3539,902,34,226,1,0,CAMERA,0
1.001,37006,35691,10,3539,902,34,226,1,0,CAMERA,0
1.0511,37008,35693,18,3539,902,34,226,1,0,CAMERA,0
1.1011,37011,35696,68,3539,902,34,226,1,0,CAMERA,0
1.151,37013,35698,9,3539,902,34,226,1,0,CAMERA,0
1.2016,37016,35701,31,3539,902,34,226,1,0,CAMERA,0
1.2511,37018,35703,6,3539,902,34,226,1,0,CAMERA,0
1.3031,37021,35706,3,3539,902,34,226,1,0,CAMERA,0
1.3511,37023,35708,32,3539,902,34,226,1,0,CAMERA,0
1.4011,37026,35711,20,3539,902,34,226,1,0,CAMERA,0
1.451,37028,35713,5,3539,902,34,226,1,0,CAMERA,0
1.5011,37031,35716,3,3539,902,34,226,1,0,CAMERA,0
1.5511,37033,35718,18,3539,902,34,226,1,0,CAMERA,0
1.6011,37036,35721,3,3539,902,34,226,1,0,CAMERA,0
1.6511,37038,35723,21,3539,902,34,226,1,0,CAMERA,0
1.7011,37041,35726,22,3539,902,34,226,1,0,CAMERA,0
1.7509,37043,35728,10,3539,902,34,226,1,0,CAMERA,0
1.8011,37046,35731,3,3539,902,34,226,1,0,CAMERA,0
1.8511,37048,35733,5,3539,902,34,226,1,0,CAMERA,0
1.9011,37051,35736,18,3539,902,34,226,1,0,CAMERA,0
1.9511,37053,35738,28,3539,902,34,226,1,0,CAMERA,0
2.0011,37056,35741,34,3539,902,34,226,1,0,CAMERA,0
2.0511,37058,35743,19,3539,902,34,226,1,0,CAMERA,0
2.1011,37061,35746,3,3539,902,34,226,1,0,CAMERA,0
2.1513,37063,35748,18,3539,902,34,226,1,0,CAMERA,0
2.2011,37066,35751,3,3539,902,34,226,1,0,CAMERA,0
2.2511,37068,35753,11,3539,902,34,226,1,0,CAMERA,0
2.3018,37071,35756,48,3539,902,34,226,1,0,CAMERA,0
2.3511,37073,35758,19,3539,902,34,226,1,0,CAMERA,0
2.4021,37076,35761,19,3539,902,34,226,1,0,CAMERA,0
2.4511,37078,35763,8,3539,902,34,226,1,0,CAMERA,0
2.5011,37081,35766,3,3539,902,34,226,1,0,CAMERA,0
2.5511,37083,35768,34,3539,902,34,226,1,0,CAMERA,0
2.601,37086,35771,5,3539,902,34,226,1,0,CAMERA,0
